La executarea integrală a termenului de pedeapsă, 8
Condiţionat de pedeapsă înainte de termen (Art. 91 CP),	10
Graţiaţi (Art. 108 CP),	0
Amnistiaţi (Art. 107 CP),	0
Pe motiv de boală (Art. 95 CP),	0
Cu înlocuirea părţii neexecutate a pedepsei cu o pedeapsă mai blândă (Art. 92 CP),	7
Achitați prin Deciziile CSJ,CA,	0
Alte motive (art. 96CP, rejudecare și alte),	1
Art. 473/4 CPP (compensat, condiții de detenție),	53
